time,velocity,altitude,X,Y,heading,elevation,pitch_rate
0.0,0.0,671.0,14723.432590998245,1423.7597109728176,-5.523343157825421,271,0.0
157.5456434428712,1.2345679012345678,671.0,14722.209887214452,1423.7597109728176,-180.0,264,0.0
236.31846516430682,2.4691358024691357,671.0,14720.98718343066,1423.7597109728176,-180.0,268,0.0
288.8336796452639,3.7037037037037033,671.0,14719.764479646867,1423.7597109728176,-180.0,283,0.0
328.2200905059817,4.938271604938271,671.0,14718.541775863072,1423.7597109728176,-180.0,296,0.0
359.729219194556,6.172839506172839,671.0,14717.319072079279,1423.7597109728176,-180.0,303,0.0
385.9868264350345,7.4074074074074066,671.0,14716.096368295486,1423.7597109728176,-180.0,315,0.0
408.49334692687324,8.641975308641975,675.5333333333333,14714.873664511693,1423.7597109728176,-180.0,381,0.05932420469155662
428.18655235723213,9.876543209876543,686.4333333333334,14713.6509607279,1423.7597109728176,-180.0,375,0.09507698999212286
445.69162385088447,11.11111111111111,697.6333333333333,14713.6509607279,1423.7597109728176,-180.0,375,0.005032213469230915
457.3616715133194,16.666666666666668,709.4666666666667,14713.203623656822,1424.7657765036815,-113.97184908001194,331,0.015930911414347722
469.0317191757543,16.666666666666668,722.1333333333333,14712.756286585744,1425.7718420345454,-113.97184908001194,285,0.02095209321060679
480.7017668381892,16.666666666666668,734.8,14712.308949514665,1426.7779075654094,-113.97184908001194,277,0.0
492.3718145006241,16.666666666666668,747.4666666666667,14711.861612443587,1427.7839730962735,-113.97184908000713,312,2.8616699024174373e-15
504.041862163059,16.666666666666668,760.1333333333333,14711.414275372508,1428.7900386271374,-113.97184908001194,298,-2.8616699024174373e-15
515.7119098254939,16.666666666666668,772.8,14710.96693830143,1429.7961041580013,-113.97184908001194,320,0.0
527.3819574879287,16.666666666666668,772.7666666666667,14710.519601230351,1430.8021696888652,-113.97184908001194,287,-0.32012612104053184
539.0520051503636,16.666666666666668,772.7333333333333,14710.072264159273,1431.808235219729,-113.97184908001194,307,0.0
550.7220528127984,16.666666666666668,773.7666666666667,14709.624927088194,1432.814300750593,-113.97184908001194,327,0.02692485594638173
562.3921004752333,16.666666666666668,774.8,14709.177590017116,1433.820366281457,-113.97184908001194,325,0.0
574.0621481376681,16.666666666666668,775.8333333333333,14708.730252946038,1434.826431812321,-113.97184908000713,292,0.0
585.732195800103,16.666666666666668,776.8666666666667,14708.28291587496,1435.832497343185,-113.97184908001194,318,2.8701867771270128e-15
597.4022434625379,16.666666666666668,777.9,14707.83557880388,1436.8385628740489,-113.97184908001194,336,-2.8701867771270128e-15
609.0722911249727,16.666666666666668,778.9333333333334,14707.388241732802,1437.8446284049128,-113.97184908001194,355,2.8701867771270128e-15
620.7423387874076,16.666666666666668,779.9666666666667,14706.940904661724,1438.8506939357767,-113.97184908001194,380,-2.8701867771270128e-15
632.4123864498424,16.666666666666668,781.0,14706.493567590645,1439.8567594666406,-113.97184908001194,356,0.0
644.0824341122773,16.666666666666668,782.0333333333333,14706.046230519567,1440.8628249975045,-113.97184908001194,310,0.0
655.7524817747121,16.666666666666668,783.0666666666666,14705.598893448489,1441.8688905283686,-113.97184908000713,296,0.0
667.422529437147,16.666666666666668,783.4333333333334,14705.15155637741,1442.8749560592325,-113.97184908001194,278,-0.016827953910009585
679.0925770995818,16.666666666666668,782.8,14704.704219306332,1443.8810215900965,-113.97184908001194,305,-0.025242215056505306
690.7626247620167,16.666666666666668,782.1666666666667,14704.256882235253,1444.8870871209604,-113.97184908001194,356,5.738244335576632e-15
702.4326724244515,16.666666666666668,781.5333333333333,14703.809545164175,1445.8931526518243,-113.97184908001194,412,-5.738244335576632e-15
714.1027200868864,16.666666666666668,780.9,14703.362208093095,1446.8992181826882,-113.97184908009842,392,2.8701867771270128e-15
725.7727677493212,16.666666666666668,780.2666666666667,14702.914871022016,1447.905283713552,-113.97184908001194,351,0.0
737.4428154117561,16.666666666666668,779.4666666666667,14702.467533950938,1448.9113492444162,-113.97184908000713,339,-0.004206989712906131
749.112863074191,16.666666666666668,779.0,14702.02019687986,1449.9174147752801,-113.97184908001194,352,0.008414002902465063
760.7829107366258,16.666666666666668,780.0,14701.57285980878,1450.923480306144,-113.97184908001194,351,0.03702176935007196
772.4529583990607,16.666666666666668,781.1333333333333,14701.125522737702,1451.929545837008,-113.97184908001194,362,0.0033655363172145616
784.1230060614955,16.666666666666668,782.2666666666667,14700.678185666624,1452.9356113678718,-113.97184908001194,351,0.0
795.7930537239304,16.666666666666668,783.1,14700.230848595545,1453.9416768987358,-113.97184908001194,307,-0.007572489703605896
807.4631013863652,16.666666666666668,783.3,14699.783511524467,1454.9477424295997,-113.97184908001194,307,-0.01598665199885097
819.1331490488001,16.666666666666668,782.6666666666667,14699.336174453389,1455.9538079604638,-113.97184908000713,278,-0.021035177154385718
830.8031967112349,16.666666666666668,782.0333333333333,14698.88883738231,1456.9598734913277,-113.97184908001194,326,-5.738244335576632e-15
842.4732443736698,16.666666666666668,781.4,14698.441500311232,1457.9659390221916,-113.97184908001194,302,2.8701867771270128e-15
854.1432920361046,16.666666666666668,780.7666666666667,14697.994163240153,1458.9720045530555,-113.97184908001194,337,0.0
865.8133396985395,16.666666666666668,778.6333333333333,14697.546826169075,1459.9780700839194,-113.97184908001194,338,-0.037861321002201645
877.4833873609743,16.666666666666668,776.5,14697.099489097996,1460.9841356147833,-113.97184908001194,329,0.0
889.1534350234092,16.666666666666668,774.3666666666667,14696.652152026918,1461.9902011456472,-113.97184908001194,338,0.0
