flight altitude,elevation,elevation m_a
1211.0625,936.0,911.0625
1210.8,906.0,910.8
1210.725,899.0,910.725
1211.525,857.0,911.525
1213.1625,817.0,913.1625
1214.3125,772.0,914.3125
1215.15,758.0,915.15
1216.075,845.0,916.075
1217.1375,888.0,917.1375
1217.5875,924.0,917.5875
1217.2125,923.0,917.2125
1216.1,915.0,916.1
1215.475,904.0,915.475
1215.2125,902.0,915.2125
1215.85,889.0,915.85
1216.4125,889.0,916.4125
1216.55,903.0,916.55
1215.825,926.0,915.825
1214.9375,928.0,914.9375
1214.8875,942.0,914.8875
1215.6125,937.0,915.6125
1216.7875,912.0,916.7875
1217.05,871.0,917.05
1216.4,847.0,916.4
1215.8375,790.0,915.8375
1215.6,755.0,915.6
1215.6875,770.0,915.6875
1215.65,830.0,915.65
1215.775,860.0,915.775
1215.7375,874.0,915.7375
1215.3875,925.0,915.3875
1214.6375,950.0,914.6375
1214.4625,944.0,914.4625
1214.7125,911.0,914.7125
1215.0875,926.0,915.0875
1215.475,967.0,915.475
1215.5125,966.0,915.5125
1215.6625,963.0,915.6625
1216.3375,955.0,916.3375
1216.8,958.0,916.8
1217.2125,948.0,917.2125
1217.625,932.0,917.625
1218.525,957.0,918.525
1219.4,975.0,919.4
1220.425,989.0,920.425
1222.05,987.0,922.05
1224.3125,969.0,924.3125
1226.8625,943.0,926.8625
1228.3625,914.0,928.3625
1229.025,875.0,929.025
1228.9875,867.0,928.9875
1228.2375,906.0,928.2375
1226.425,955.0,926.425
1225.4125,981.0,925.4125
1224.9625,943.0,924.9625
1225.1375,900.0,925.1375
1224.7625,876.0,924.7625
1223.7,908.0,923.7
1222.85,951.0,922.85
1222.5625,951.0,922.5625
1222.4625,954.0,922.4625
1222.35,925.0,922.35
1222.7375,891.0,922.7375
1223.575,926.0,923.575
1224.7125,970.0,924.7125
1226.6625,991.0,926.6625
1229.0125,975.0,929.0125
1230.9,978.0,930.9
1231.7875,956.0,931.7875
1232.0375,908.0,932.0375
1231.5125,874.0,931.5125
1230.6125,928.0,930.6125
1230.2125,964.0,930.2125
1230.0375,985.0,930.0375
1229.7125,987.0,929.7125
1228.5375,968.0,928.5375
1226.425,952.0,926.425
1225.575,948.0,925.575
1225.325,966.0,925.325
1225.35,970.0,925.35
1225.6125,969.0,925.6125
1225.8875,978.0,925.8875
1226.3,969.0,926.3
1226.375,939.0,926.375
1226.175,947.0,926.175
1225.8375,953.0,925.8375
1225.725,962.0,925.725
1225.8125,965.0,925.8125
1226.25,941.0,926.25
1226.9875,921.0,926.9875
1227.975,863.0,927.975
1229.075,770.0,929.075
1229.925,823.0,929.925
1230.3,866.0,930.3
1230.4375,903.0,930.4375
1230.7625,859.0,930.7625
1231.0625,818.0,931.0625
1230.975,858.0,930.975
1231.075,905.0,931.075
1231.4,934.0,931.4
1231.9,928.0,931.9
1232.375,943.0,932.375
1233.2625,938.0,933.2625
1234.3625,938.0,934.3625
1234.575,946.0,934.575
1233.75,943.0,933.75
1232.9125,921.0,932.9125
1232.725,901.0,932.725
1232.5,880.0,932.5
1232.525,832.0,932.525
1232.975,853.0,932.975
1233.7,918.0,933.7
1234.2125,930.0,934.2125
1234.525,885.0,934.525
1234.825,832.0,934.825
1235.075,798.0,935.075
1235.45,898.0,935.45
1235.6,943.0,935.6
1234.925,957.0,934.925
1233.8875,979.0,933.8875
1233.325,970.0,933.325
1233.05,965.0,933.05
1233.1125,963.0,933.1125
1233.3875,959.0,933.3875
1233.9375,962.0,933.9375
1234.1875,978.0,934.1875
1234.35,976.0,934.35
1234.6875,978.0,934.6875
1235.05,973.0,935.05
1235.6125,954.0,935.6125
1236.3125,955.0,936.3125
1237.6875,974.0,937.6875
1240.3,985.0,940.3
1242.425,992.0,942.425
1244.0875,969.0,944.0875
1244.65,924.0,944.65
1245.35,869.0,945.35
1246.8,916.0,946.8
1246.9625,977.0,946.9625
1245.5375,991.0,945.5375
1244.375,992.0,944.375
1243.8375,996.0,943.8375
1243.6125,979.0,943.6125
1243.7625,943.0,943.7625
1244.0625,904.0,944.0625
1243.7875,924.0,943.7875
1242.75,960.0,942.75
1242.15,960.0,942.15
1242.4375,958.0,942.4375
1243.075,944.0,943.075
1244.5125,932.0,944.5125
1245.8125,969.0,945.8125
1246.3,989.0,946.3
1246.7875,1009.0,946.7875
1247.675,1007.0,947.675
1249.0,998.0,949.0
1250.4,964.0,950.4
1250.15,894.0,950.15
1249.075,883.0,949.075
1248.55,925.0,948.55
1248.2,947.0,948.2
1248.1,983.0,948.1
1247.7625,991.0,947.7625
1247.3375,983.0,947.3375
1246.3,967.0,946.3
1244.25,966.0,944.25
1242.3875,989.0,942.3875
1241.1125,994.0,941.1125
1239.8875,986.0,939.8875
1239.175,977.0,939.175
1239.275,973.0,939.275
1239.7375,979.0,939.7375
1239.875,993.0,939.875
1239.8625,999.0,939.8625
1239.825,948.0,939.825
1240.175,915.0,940.175
1241.05,934.0,941.05
1242.4125,871.0,942.4125
1243.0625,791.0,943.0625
1243.05,841.0,943.05
1243.0375,885.0,943.0375
1243.0625,925.0,943.0625
1242.875,950.0,942.875
1242.8375,962.0,942.8375
1243.025,924.0,943.025
1243.0375,860.0,943.0375
1242.6375,873.0,942.6375
1242.525,924.0,942.525
1242.775,931.0,942.775
1243.2875,947.0,943.2875
1244.15,957.0,944.15
1244.95,957.0,944.95
1245.0875,969.0,945.0875
1244.625,956.0,944.625
1243.9875,938.0,943.9875
1243.7,910.0,943.7
1243.525,878.0,943.525
1244.05,857.0,944.05
1245.05,915.0,945.05
1246.3375,951.0,946.3375
1247.3,962.0,947.3
1248.2,938.0,948.2
1248.675,929.0,948.675
1248.8125,876.0,948.8125
1248.8625,798.0,948.8625
1248.9875,829.0,948.9875
1248.3625,874.0,948.3625
1247.2375,880.0,947.2375
1246.15,916.0,946.15
1245.7375,962.0,945.7375
1246.025,992.0,946.025
1246.425,985.0,946.425
1246.775,984.0,946.775
1246.8625,989.0,946.8625
1246.75,997.0,946.75
1247.4375,994.0,947.4375
1248.7375,978.0,948.7375
1249.925,968.0,949.925
1251.9375,976.0,951.9375
1254.675,990.0,954.675
1256.4125,994.0,956.4125
1257.6625,981.0,957.6625
1258.35,976.0,958.35
1258.4125,958.0,958.4125
1257.9625,905.0,957.9625
1257.225,892.0,957.225
1256.4,951.0,956.4
1255.5625,980.0,955.5625
1254.75,999.0,954.75
1254.6125,1013.0,954.6125
1254.7375,996.0,954.7375
1254.65,980.0,954.65
1254.4375,952.0,954.4375
1253.9875,958.0,953.9875
1253.6375,984.0,953.6375
1252.8,984.0,952.8
1252.45,1006.0,952.45
1252.9125,974.0,952.9125
1254.05,986.0,954.05
1254.85,1002.0,954.85
1255.2,1019.0,955.2
1255.425,1021.0,955.425
1255.6375,1002.0,955.6375
1255.5875,987.0,955.5875
1255.6125,977.0,955.6125
1256.825,916.0,956.825
1258.2625,899.0,958.2625
1259.375,907.0,959.375
1260.4875,953.0,960.4875
1261.0625,1000.0,961.0625
1260.975,1005.0,960.975
1260.05,1007.0,960.05
1258.7375,1000.0,958.7375
1257.05,990.0,957.05
1254.7625,1003.0,954.7625
1253.0875,1019.0,953.0875
1251.675,1029.0,951.675
1251.0625,1032.0,951.0625
1251.1125,1010.0,951.1125
1250.85,980.0,950.85
1250.225,985.0,950.225
1250.1125,980.0,950.1125
1250.4,955.0,950.4
1251.1,926.0,951.1
1251.9375,865.0,951.9375
1253.2375,794.0,953.2375
1254.625,806.0,954.625
1255.375,859.0,955.375
1255.8125,920.0,955.8125
1255.875,957.0,955.875
1255.5125,950.0,955.5125
1254.5,940.0,954.5
1253.425,933.0,953.425
1252.8125,928.0,952.8125
1252.3625,871.0,952.3625
1252.0875,882.0,952.0875
1252.225,915.0,952.225
1252.2625,948.0,952.2625
1252.8625,979.0,952.8625
1253.3,979.0,953.3
1253.4625,980.0,953.4625
1253.325,955.0,953.325
1252.8875,925.0,952.8875
1252.9375,878.0,952.9375
1253.175,895.0,953.175
1253.5875,944.0,953.5875
1254.775,963.0,954.775
1256.25,969.0,956.25
1257.725,962.0,957.725
1258.7125,955.0,958.7125
1259.0,918.0,959.0
1259.1,880.0,959.1
1258.7625,849.0,958.7625
1258.2,806.0,958.2
1257.875,863.0,957.875
1257.4875,881.0,957.4875
1256.95,929.0,956.95
1256.4625,972.0,956.4625
1256.0875,955.0,956.0875
1256.075,940.0,956.075
1256.5,985.0,956.5
1256.75,1004.0,956.75
1256.8125,1032.0,956.8125
1257.2625,1025.0,957.2625
1258.425,1009.0,958.425
1260.35,1003.0,960.35
1262.6375,1011.0,962.6375
1264.5125,1015.0,964.5125
1265.475,1004.0,965.475
1265.1,984.0,965.1
1264.4375,915.0,964.4375
1263.9125,894.0,963.9125
1262.5125,903.0,962.5125
1261.3625,922.0,961.3625
1260.25,962.0,960.25
1260.1625,995.0,960.1625
1260.7375,1009.0,960.7375
1261.425,1022.0,961.425
1261.8375,1021.0,961.8375
1261.925,1015.0,961.925
1261.7125,1008.0,961.7125
1260.8375,986.0,960.8375
1260.2375,1006.0,960.2375
1259.7875,1006.0,959.7875
1260.2125,1010.0,960.2125
1260.9,1011.0,960.9
1261.0375,1017.0,961.0375
1260.75,1025.0,960.75
1260.3875,1032.0,960.3875
1259.8375,1023.0,959.8375
1259.5875,1013.0,959.5875
1259.95,980.0,959.95
1260.2875,955.0,960.2875
1260.475,964.0,960.475
1261.3,972.0,961.3
1261.7375,976.0,961.7375
1262.65,990.0,962.65
1263.4125,1002.0,963.4125
1263.5875,1009.0,963.5875
1263.7,1014.0,963.7
1263.65,1005.0,963.65
1262.8125,985.0,962.8125
1261.775,991.0,961.775
1259.8,1019.0,959.8
1257.325,1019.0,957.325
1255.6375,977.0,955.6375
1254.25,956.0,954.25
1253.2875,936.0,953.2875
1252.2375,890.0,952.2375
1251.675,904.0,951.675
1251.2,908.0,951.2
1252.0125,828.0,952.0125
1253.2375,841.0,953.2375
1254.05,839.0,954.05
1254.575,864.0,954.575
1254.8875,928.0,954.8875
1254.9,970.0,954.9
1254.65,981.0,954.65
1254.3,986.0,954.3
1253.9875,962.0,953.9875
1253.675,910.0,953.675
1253.25,907.0,953.25
1253.125,889.0,953.125
1252.6875,912.0,952.6875
1252.1875,950.0,952.1875
1252.0625,955.0,952.0625
1252.2,940.0,952.2
1252.3875,940.0,952.3875
1252.4375,918.0,952.4375
1252.375,935.0,952.375
1252.375,947.0,952.375
1252.4,907.0,952.4
1252.8375,864.0,952.8375
1253.7625,872.0,953.7625
1254.6625,898.0,954.6625
1255.4875,954.0,955.4875
1256.2,990.0,956.2
1256.4875,986.0,956.4875
1256.275,964.0,956.275
1255.9375,936.0,955.9375
1255.5875,918.0,955.5875
1255.4375,921.0,955.4375
1255.65,874.0,955.65
1255.65,827.0,955.65
1255.3625,874.0,955.3625
1255.25,892.0,955.25
1255.3625,934.0,955.3625
1255.6625,931.0,955.6625
1256.0,959.0,956.0
1256.75,946.0,956.75
1257.125,980.0,957.125
1257.3625,992.0,957.3625
1258.55,968.0,958.55
1259.35,964.0,959.35
1259.875,987.0,959.875
1259.825,996.0,959.825
1258.775,989.0,958.775
1257.0375,994.0,957.0375
1255.225,996.0,955.225
1253.375,990.0,953.375
1251.6125,974.0,951.6125
1250.8875,976.0,950.8875
1250.975,971.0,950.975
1251.75,966.0,951.75
1252.6375,1000.0,952.6375
1253.2125,1022.0,953.2125
1253.35,1032.0,953.35
1253.0625,1029.0,953.0625
1252.1875,1027.0,952.1875
1251.35,1023.0,951.35
1250.075,1015.0,950.075
1248.8125,1015.0,948.8125
1248.6375,1029.0,948.6375
1249.3,1036.0,949.3
1249.375,1038.0,949.375
1249.5375,1033.0,949.5375
1249.0,1013.0,949.0
1247.9,985.0,947.9
1246.375,982.0,946.375
1245.1875,986.0,945.1875
1244.0,993.0,944.0
1243.0125,1002.0,943.0125
1241.8875,991.0,941.8875
1241.475,996.0,941.475
1241.8,1010.0,941.8
1242.1125,986.0,942.1125
1242.8,980.0,942.8
1243.5125,963.0,943.5125
1244.075,950.0,944.075
1243.8875,934.0,943.8875
1243.2125,927.0,943.2125
1241.3,923.0,941.3
1239.8125,905.0,939.8125
1239.0,881.0,939.0
1237.925,860.0,937.925
1236.0875,844.0,936.0875
