,fire_prob,lat,lon
0,0.0,-32.3395445217678,150.111050760731
1,0.0,-32.3395445217678,150.1247228983248
2,0.0,-32.3395445217678,150.1383950359186
3,0.0,-32.3395445217678,150.1520671735124
4,0.0,-32.3395445217678,150.1657393111062
5,0.0,-32.3395445217678,150.1794114487
6,0.0,-32.3395445217678,150.1930835862938
7,0.0,-32.3395445217678,150.2067557238876
8,0.0,-32.3395445217678,150.2204278614814
9,0.0,-32.3395445217678,150.2340999990752
10,0.0,-32.3395445217678,150.247772136669
11,0.0,-32.3395445217678,150.2614442742628
12,0.0,-32.3395445217678,150.2751164118566
13,0.0,-32.3395445217678,150.28878854945037
14,0.0,-32.3395445217678,150.30246068704417
15,0.0,-32.3395445217678,150.31613282463798
16,0.0,-32.3395445217678,150.32980496223178
17,0.0,-32.3395445217678,150.34347709982558
18,0.0,-32.3395445217678,150.35714923741938
19,0.0,-32.3395445217678,150.37082137501318
20,0.0,-32.3395445217678,150.38449351260698
21,0.0,-32.3395445217678,150.39816565020078
22,0.0,-32.3395445217678,150.41183778779458
23,0.0,-32.3395445217678,150.42550992538838
24,0.0,-32.3395445217678,150.43918206298218
25,0.0,-32.3395445217678,150.45285420057598
26,0.0,-32.3395445217678,150.46652633816979
27,0.0,-32.3395445217678,150.4801984757636
28,0.0,-32.3395445217678,150.4938706133574
29,0.0,-32.3395445217678,150.5075427509512
30,0.0,-32.3395445217678,150.521214888545
31,0.0,-32.3395445217678,150.5348870261388
32,0.0,-32.3395445217678,150.5485591637326
33,0.0,-32.3395445217678,150.5622313013264
34,0.0,-32.3395445217678,150.5759034389202
35,0.0,-32.3395445217678,150.589575576514
36,0.0,-32.3395445217678,150.6032477141078
37,0.0,-32.3395445217678,150.6169198517016
38,0.0,-32.3395445217678,150.6305919892954
39,0.0,-32.3395445217678,150.6442641268892
40,0.0,-32.3395445217678,150.657936264483
41,0.0,-32.3395445217678,150.6716084020768
42,0.0,-32.3395445217678,150.6852805396706
43,0.0,-32.3395445217678,150.6989526772644
44,0.0,-32.3395445217678,150.7126248148582
45,0.0,-32.3395445217678,150.726296952452
46,0.0,-32.3395445217678,150.7399690900458
47,0.0,-32.3395445217678,150.7536412276396
48,0.0,-32.3395445217678,150.7673133652334
49,0.0,-32.3395445217678,150.7809855028272
50,0.0,-32.3395445217678,150.794657640421
51,0.0,-32.3395445217678,150.8083297780148
52,0.0,-32.3395445217678,150.8220019156086
53,0.0,-32.3395445217678,150.8356740532024
54,0.0,-32.3395445217678,150.8493461907962
55,0.0,-32.3395445217678,150.86301832839
56,0.0,-32.3395445217678,150.8766904659838
57,0.0,-32.3395445217678,150.8903626035776
58,0.0,-32.3395445217678,150.9040347411714
59,0.0,-32.3395445217678,150.9177068787652
60,0.0,-32.3395445217678,150.931379016359
61,0.0,-32.3395445217678,150.9450511539528
62,0.0,-32.3395445217678,150.9587232915466
63,0.0,-32.3395445217678,150.9723954291404
64,0.0,-32.3395445217678,150.9860675667342
65,0.0,-32.3395445217678,150.999739704328
66,0.0,-32.3395445217678,151.0134118419218
67,0.0,-32.3395445217678,151.0270839795156
68,0.0,-32.3395445217678,151.0407561171094
69,0.0,-32.3395445217678,151.0544282547032
70,0.0,-32.3395445217678,151.068100392297
71,0.0,-32.3395445217678,151.0817725298908
72,0.0,-32.3395445217678,151.0954446674846
73,0.0,-32.3395445217678,151.1091168050784
74,0.0,-32.3395445217678,151.1227889426722
75,0.0,-32.3395445217678,151.136461080266
76,0.0,-32.35588458347835,150.111050760731
77,0.0,-32.35588458347835,150.1247228983248
78,0.0,-32.35588458347835,150.1383950359186
79,0.0,-32.35588458347835,150.1520671735124
80,0.0,-32.35588458347835,150.1657393111062
81,0.0,-32.35588458347835,150.1794114487
82,0.0,-32.35588458347835,150.1930835862938
83,0.0,-32.35588458347835,150.2067557238876
84,0.0,-32.35588458347835,150.2204278614814
85,0.0,-32.35588458347835,150.2340999990752
86,0.0,-32.35588458347835,150.247772136669
87,0.0,-32.35588458347835,150.2614442742628
88,0.0,-32.35588458347835,150.2751164118566
89,0.0,-32.35588458347835,150.28878854945037
90,0.0,-32.35588458347835,150.30246068704417
91,0.0,-32.35588458347835,150.31613282463798
92,0.0,-32.35588458347835,150.32980496223178
93,0.00021457379228981445,-32.35588458347835,150.34347709982558
94,0.0002153806291326419,-32.35588458347835,150.35714923741938
95,0.00021545281072351868,-32.35588458347835,150.37082137501318
96,0.00021481048393267468,-32.35588458347835,150.38449351260698
97,0.00021348714312757972,-32.35588458347835,150.39816565020078
98,0.00021152778785256372,-32.35588458347835,150.41183778779458
99,0.00020898673388510658,-32.35588458347835,150.42550992538838
100,0.00020592522084172254,-32.35588458347835,150.43918206298218
101,0.00020240896461631692,-32.35588458347835,150.45285420057598
102,0.000198505796050684,-32.35588458347835,150.46652633816979
103,0.00019428350942902117,-32.35588458347835,150.4801984757636
104,0.0001898080177914072,-32.35588458347835,150.4938706133574
105,0.00018514187961747605,-32.35588458347835,150.5075427509512
106,0.0,-32.35588458347835,150.521214888545
107,0.0,-32.35588458347835,150.5348870261388
108,0.0,-32.35588458347835,150.5485591637326
109,0.0,-32.35588458347835,150.5622313013264
110,0.0,-32.35588458347835,150.5759034389202
111,0.0,-32.35588458347835,150.589575576514
112,0.0,-32.35588458347835,150.6032477141078
113,0.0,-32.35588458347835,150.6169198517016
114,0.0,-32.35588458347835,150.6305919892954
115,0.0,-32.35588458347835,150.6442641268892
116,0.0,-32.35588458347835,150.657936264483
117,0.0,-32.35588458347835,150.6716084020768
