lat,lon,fire_prob,likelihood,rel_req,spacing_req,nbr_sensor
-33.6733332509281,150.146368715767,4.55889042e-315,4.32977132e-315,55.0,459.4949761687467,9.0
-33.6733332509281,150.1602315518785,4.556933715e-315,0.0,55.0,459.4949761687467,9.0
-33.65684827585716,150.28499707688178,0.0002627681009174,0.5814490955852994,66.62898191170599,361.19579134592186,16.0
-33.65684827585716,150.2988599129933,0.0002728920227834,0.6038511496861911,67.07702299372383,358.5292193132218,16.0
-33.65684827585716,150.31272274910475,0.0002815544749637,0.6230192867933491,67.46038573586698,356.3498001054213,16.0
-33.65684827585716,150.3265855852162,0.000288618661958,0.6386508079884318,67.77301615976863,354.6424410003583,16.0
-33.65684827585716,150.3404484213277,0.0002939819647926,0.6505186396302731,68.01037279260547,353.38807396701486,16.0
-33.65684827585716,150.35431125743918,0.0002975791831976,0.6584785075934603,68.16957015186921,352.5669547921325,16.0
-33.65684827585716,150.36817409355066,0.0002993842082854,0.6624726385442568,68.24945277088514,352.1610205585166,16.0
-33.65684827585716,150.38203692966215,0.0002994100340465,0.6625297853799075,68.25059570759815,352.1552420430944,16.0
-33.65684827585716,150.3958997657736,0.0002977071226946,0.6587616100876821,68.17523220175364,352.5380485036194,16.0
-33.65684827585716,150.4097626018851,0.00029436024564,0.6513556935034672,68.02711387006934,353.30096391964435,16.0
-33.65684827585716,150.42362543799658,0.000289484019343,0.6405656571162339,67.81131314232468,354.4376077528832,16.0
-33.65684827585716,150.43748827410803,0.0002832174348635,0.6266990581443791,67.53398116288759,355.94222128362617,16.0
-33.65684827585716,150.45135111021952,0.0002757177347055,0.6101038403125337,67.20207680625067,357.807907201578,16.0
-33.65684827585716,150.465213946331,0.000267154016079,0.5911541792506467,66.82308358501294,360.0248112312247,16.0
-33.65684827585716,150.4790767824425,0.0002577009345043,0.5702365499307921,66.40473099861585,362.5785043193837,16.0
-33.65684827585716,150.49293961855398,0.0002475328473612,0.547736767603403,65.95473535206806,365.4488136707787,16.0
-33.65684827585716,150.50680245466543,0.0002368186779911,0.5240286231656762,65.48057246331352,368.6092873627267,16.0
-33.65684827585716,150.52066529077692,0.0002257177040557,0.4994645637068504,64.989291274137,372.0273700647858,16.0
-33.65684827585716,150.5345281268884,0.0002143763872058,0.474368677249931,64.48737354499862,375.6652442084787,9.0
-33.65684827585716,150.54839096299986,0.0002029262734016,0.4490320466141067,63.980640932282135,379.4811846358134,9.0
-33.65684827585716,150.56225379911135,0.0001914829125917,0.4237103588972806,63.474207177945615,383.4312102290987,9.0
-33.65684827585716,150.57611663522283,0.0001801456796814,0.3986235093173008,62.972470186346015,387.4708027621491,9.0
-33.65684827585716,150.58997947133432,0.0001689983305615,0.3739568315840529,62.47913663168106,391.55649507895396,9.0
-33.65684827585716,150.60384230744577,0.0001581100998158,0.3498635268886511,61.99727053777302,395.6471912527313,9.0
-33.65684827585716,150.61770514355726,0.0001475371405552,0.3264678499467094,61.52935699893419,399.70515109251664,9.0
-33.65684827585716,150.63156797966874,0.000137324119471,0.3038686385056655,61.07737277011331,403.69663376622066,9.0
-33.65684827585716,150.64543081578023,0.000127505807794,0.2821428337946456,60.642856675892915,407.592240258763,9.0
-33.64036330078621,150.28499707688178,0.0002778201538198,0.6147560400593262,67.29512080118653,357.2777472644739,16.0
-33.64036330078621,150.2988599129933,0.0002887974040641,0.6390463256923481,67.78092651384696,354.60005495712176,16.0
-33.64036330078621,150.31272274910475,0.0002982693079142,0.6600056046455374,68.20011209291074,352.41127204617715,16.0
-33.64036330078621,150.3265855852162,0.0003060846384835,0.6772992444569381,68.54598488913877,350.68956991843424,16.0
-33.64036330078621,150.3404484213277,0.0003121269839013,0.6906696507815517,68.81339301563104,349.4101307413175,16.0
-33.64036330078621,150.35431125743918,0.0003163186015003,0.6999447958751189,68.99889591750238,348.54875231341885,16.0
-33.64036330078621,150.36817409355066,0.0003186226750861,0.7050432134453317,69.10086426890663,348.0843115778507,16.0
-33.64036330078621,150.38203692966215,0.0003190438427679,0.7059751666269442,69.11950333253888,348.00010500033295,16.0
-33.64036330078621,150.3958997657736,0.000317626972438,0.702839938381999,69.05679876763998,348.2842352132093,16.0
-33.64036330078621,150.4097626018851,0.0003144542751076,0.6958194439349885,68.91638887869976,348.92924022239094,16.0
-33.64036330078621,150.42362543799658,0.0003096409531651,0.6851686013081623,68.70337202616325,349.93111606020557,16.0
-33.64036330078621,150.43748827410803,0.0003033296718463,0.6712030978776388,68.42406195755278,351.28783838946674,16.0
-33.64036330078621,150.45135111021952,0.0002956842098388,0.654285340531574,68.08570681063148,352.9974938230989,16.0
-33.64036330078621,150.465213946331,0.0002868826833485,0.634809461992119,67.69618923984238,355.05619260796266,16.0
-33.64036330078621,150.4790767824425,0.0002771107444185,0.6131862701620108,67.26372540324022,357.4560145805499,16.0
-33.64036330078621,150.49293961855398,0.0002665551292989,0.5898289720607628,66.79657944121526,360.1832881616119,16.0
-33.64036330078621,150.50680245466543,0.0002553978798131,0.5651403869543273,66.30280773908655,363.217480276302,16.0
-33.64036330078621,150.52066529077692,0.0002438114861349,0.5395021983698294,65.79004396739658,366.5308785977468,16.0
-33.64036330078621,150.5345281268884,0.0002319551112355,0.5132665996114901,65.2653319922298,370.08910338539135,16.0
-33.64036330078621,150.54839096299986,0.0002199719643821,0.4867504818793686,64.73500963758737,373.85233805285134,16.0
-33.64036330078621,150.56225379911135,0.0002079878022462,0.460232117546321,64.20464235092642,377.77705618838445,9.0
